Time (UTC),Open,High,Low,Close,Volume 
2024.04.29 22:25:00,2335.555,2335.865,2335.412,2335.865,0.02284
2024.04.29 22:30:00,2335.825,2335.842,2334.495,2334.675,0.03652
2024.04.29 22:35:00,2334.625,2335.305,2334.625,2334.795,0.0307
2024.04.29 22:40:00,2334.875,2335.225,2334.455,2335.225,0.03038
2024.04.29 22:45:00,2335.205,2335.305,2334.435,2335.115,0.04878
2024.04.29 22:50:00,2335.105,2335.122,2334.605,2335.115,0.03879
2024.04.29 22:55:00,2335.115,2335.515,2335.022,2335.182,0.02403
2024.04.29 23:00:00,2335.222,2335.322,2333.762,2333.902,0.0615
2024.04.29 23:05:00,2333.922,2334.615,2333.142,2334.385,0.08728
2024.04.29 23:10:00,2334.385,2335.092,2334.385,2334.965,0.05326
2024.04.29 23:15:00,2335.002,2335.015,2333.965,2334.155,0.01136
2024.04.29 23:20:00,2334.165,2334.615,2333.875,2334.155,0.02196
2024.04.29 23:25:00,2334.145,2334.145,2333.545,2333.685,0.02927
2024.04.29 23:30:00,2333.715,2334.205,2333.535,2334.105,0.0297
2024.04.29 23:35:00,2334.085,2334.395,2333.775,2333.785,0.03989
2024.04.29 23:40:00,2333.805,2333.805,2333.122,2333.355,0.02697
2024.04.29 23:45:00,2333.375,2334.165,2333.212,2333.775,0.04609
2024.04.29 23:50:00,2333.785,2334.635,2333.325,2333.585,0.05424
2024.04.29 23:55:00,2333.625,2334.302,2333.285,2333.385,0.03629
2024.04.30 00:00:00,2333.375,2333.495,2332.005,2332.472,0.08813
2024.04.30 00:05:00,2332.415,2334.242,2332.265,2333.982,0.16869
2024.04.30 00:10:00,2333.985,2334.092,2333.405,2333.785,0.14379
2024.04.30 00:15:00,2333.745,2333.945,2333.015,2333.015,0.12432
2024.04.30 00:20:00,2332.915,2333.582,2332.915,2333.285,0.0371
2024.04.30 00:25:00,2333.265,2333.285,2332.455,2333.185,0.02552
2024.04.30 00:30:00,2333.205,2334.585,2333.185,2334.015,0.02154
2024.04.30 00:35:00,2334.035,2334.735,2334.005,2334.475,0.03135
2024.04.30 00:40:00,2334.375,2334.945,2334.095,2334.645,0.03546
2024.04.30 00:45:00,2334.645,2334.825,2333.835,2333.945,0.03264
2024.04.30 00:50:00,2333.885,2335.025,2333.215,2334.055,0.05378
2024.04.30 00:55:00,2334.075,2334.715,2333.315,2334.245,0.05811
2024.04.30 01:00:00,2334.215,2335.595,2333.805,2334.925,0.12887
2024.04.30 01:05:00,2334.995,2335.605,2333.785,2333.905,0.06687
2024.04.30 01:10:00,2333.915,2334.865,2332.685,2333.525,0.10511
2024.04.30 01:15:00,2333.535,2335.585,2333.005,2334.815,0.06429
2024.04.30 01:20:00,2334.835,2335.435,2334.675,2335.322,0.04504
